Date,Open,High,Low,Close,Adj Close,Volume
02/12/2022,166.5899963,169.3300018,164.4499969,168.7599945,168.6772308,37138900
05/12/2022,166.7899933,169.9499969,164.7200012,166.1000061,166.0185547,35225500
06/12/2022,165.3000031,165.7299957,158.1900024,159.8699951,159.7915955,35269400
07/12/2022,157.7200012,161.8600006,156.6699982,161.1999969,161.1209564,37238800
08/12/2022,162.7299957,171.7899933,159.5899963,171.6900024,171.6058044,51545600
09/12/2022,171.6000061,175.8300018,169.75,170.0099945,169.9266052,46533800
12/12/2022,170.3699951,175.3800049,167.9700012,175.3500061,175.2640228,45732800
13/12/2022,185.3099976,187.8999939,177.1100006,180.7200012,180.6313934,65658900
14/12/2022,179.8699951,182.5200043,174.1999969,176.7400055,176.6533508,49688800
15/12/2022,171.4600067,173.1999969,167,169.5200043,169.4368744,47854200
16/12/2022,168.6399994,170.4100037,164.1000061,165.7100067,165.6287384,47823200
19/12/2022,165.7200012,166.0899963,161.4499969,162.5399933,162.4602966,35403900
20/12/2022,160.6399994,163.1000061,158.5200043,160.8500061,160.7711182,40326000
21/12/2022,161.1399994,166.2700043,161.0200043,165.0099945,164.9290619,32502500
22/12/2022,160.9400024,161.3800049,148.8200073,153.3899994,153.3147736,56504500
23/12/2022,151.9600067,153.3899994,148.8300018,152.0599976,151.9854279,34932600
27/12/2022,150.7400055,151,140.5599976,141.2100067,141.1407623,46490200
28/12/2022,139.2700043,142.6199951,138.8399963,140.3600006,140.291153,35106600
29/12/2022,144.0200043,146.8300018,142.2700043,146.0299988,145.9583893,35492300
30/12/2022,143.3399963,146.2899933,142.3300018,146.1399994,146.0683289,31049000
03/01/2023,148.5099945,149.9600067,140.9600067,143.1499939,143.0797729,40127700
04/01/2023,145.6699982,148.5299988,142.4100037,147.4900055,147.4176788,43132400
05/01/2023,144.9100037,145.6399994,141.4799957,142.6499939,142.5800476,38916800
06/01/2023,144.7400055,150.1000061,140.3399963,148.5899963,148.5171204,40504400
09/01/2023,152.8399963,160.5599976,151.4100037,156.2799988,156.2033539,50423100
10/01/2023,155.0700073,159.6199951,154.7200012,159.0899963,159.0119629,38410100
11/01/2023,158.3999939,160.2799988,155.6300049,160.0099945,159.9315186,35328500
12/01/2023,161,166.3699951,154.9199982,165.1100006,165.0290375,55140900
13/01/2023,162.7799988,169.2200012,161.6499939,168.9900055,168.907135,44728700
17/01/2023,168.9900055,177.2799988,168.9900055,177.0200043,176.9332123,51110200
18/01/2023,176.6699982,178.7299957,172.8200073,173.7700043,173.6847992,43962400
19/01/2023,170.3600006,171.9700012,167.3099976,167.6499939,167.5677795,45293200
20/01/2023,170.1100006,178.5599976,168.25,178.3899994,178.3025055,56496700
23/01/2023,180.6399994,192.4499969,178.1799927,191.9299927,191.8358765,65516300
24/01/2023,188.2700043,194.9499969,188.1999969,192.6499939,192.5555267,49620400
25/01/2023,189.1300049,193.6999969,185.8000031,193.2299957,193.1352386,44953700
26/01/2023,197.0099945,201.6600037,192.7799988,198.0200043,197.9228973,48953500
27/01/2023,194.6199951,206.2799988,194.0500031,203.6499939,203.5501251,54214200
30/01/2023,199.5,201.3999939,191.5,191.6199951,191.5260315,48861100
31/01/2023,191.6999969,196.8699951,189.5,195.3699951,195.2741852,49801700
01/02/2023,196.9100037,211.9199982,196.1100006,209.4299927,209.3272858,66047700
02/02/2023,210,219.4900055,207,217.0899963,216.9835358,56427600
03/02/2023,210,217.4499969,207.8899994,211,210.8965149,42936600
06/02/2023,208.0599976,215.6999969,207.8600006,210.8899994,210.7865906,45219700
07/02/2023,213.8200073,222.5899963,211.5,221.7299957,221.6212616,66415000
08/02/2023,223.8699951,228.7799988,220.0800018,222.0500031,221.9411316,55965100
09/02/2023,226.0599976,230.1999969,221.1999969,223.3699951,223.2604523,52387600
10/02/2023,216.8999939,220.7799988,208.1100006,212.6499939,212.5457153,55073700
13/02/2023,215.3800049,220.4799957,209.6199951,217.8800049,217.7731628,47491900
14/02/2023,215.7799988,230.4900055,213.6600037,229.7100067,229.5973358,67547400
15/02/2023,225.4900055,228.5500031,221.0599976,227.6399994,227.5283356,42057500
16/02/2023,221.3300018,225.5,219.2700043,220.0200043,219.9120941,41202600
17/02/2023,216.3099976,217.3999939,209.75,213.8800049,213.7751312,46588800
21/02/2023,210,214.9400024,206.1799927,206.5500031,206.4487,41001500
22/02/2023,207.0700073,211.0399933,204.2100067,207.5399933,207.4382172,51318400
23/02/2023,234.3999939,238.8800049,230.25,236.6399994,236.5239563,111799500
24/02/2023,232.25,234.7400055,229.4700012,232.8600006,232.7457886,58971600
27/02/2023,236.6999969,238.8000031,234.5399933,235.0099945,234.8947449,45299400
28/02/2023,233.7200012,238.25,232.0599976,232.1600037,232.0461578,45596300
01/03/2023,231.9199982,232.5599976,225.0800018,226.9799957,226.8686981,46002600
02/03/2023,224.8800049,233.8000031,224.3200073,233.1399994,233.0256805,38941500
03/03/2023,233.1999969,239,231.3000031,238.8999939,238.7828522,41239300
06/03/2023,238.9100037,242.4799957,234.8699951,235.5399933,235.4244843,43742900
07/03/2023,236,241.25,232.4100037,232.8800049,232.8053284,51515400
08/03/2023,234.8699951,242,234.2400055,241.8099976,241.7324677,51357300
09/03/2023,241.75,244.5399933,233.8300018,234.3600006,234.2848663,50125700
10/03/2023,234.0899963,236.2700043,227.2599945,229.6499939,229.576355,47486600
13/03/2023,227.5200043,232.9799957,222.9700012,229.6600037,229.5863647,42189000
14/03/2023,234.9600067,242.1900024,234.6000061,240.6300049,240.5528412,47491000
15/03/2023,237.6100006,242.8600006,233.6000061,242.2799988,242.202301,52448600
16/03/2023,240.2700043,255.8800049,238.9400024,255.4100037,255.3280945,58325300
17/03/2023,259.8200073,263.9899902,256.6799927,257.25,257.1675415,84854700
20/03/2023,256.1499939,260.2399902,251.3000031,259,258.9169617,43274700
21/03/2023,261.7999878,263.9200134,253.8099976,261.9899902,261.9059753,54740800
22/03/2023,264.25,275.8900146,262.3699951,264.6799927,264.5951233,79729500
23/03/2023,271.1499939,274.9899902,266.8999939,271.9100037,271.8228149,56488900
24/03/2023,270.3099976,271.6700134,263.5499878,267.7900085,267.7041321,45492000
27/03/2023,268.3699951,270,263.6499939,265.3099976,265.2249451,36102600
28/03/2023,264.4700012,265.1300049,258.5,264.1000061,264.0153198,35610400
29/03/2023,268.25,270.7799988,265.9700012,269.8399963,269.753479,39369400
30/03/2023,272.2900085,274.9899902,271.019989,273.8299866,273.7421875,36451600
31/03/2023,271.3999939,278.3399963,271.0499878,277.769989,277.6809082,43393300
03/04/2023,275.0899963,280,273.3599854,279.6499939,279.5603027,39871600
04/04/2023,279.6600037,280,273.0700073,274.5299988,274.4419556,36859200
05/04/2023,268.2900085,269.980011,263.9500122,268.8099976,268.7238464,51501500
06/04/2023,265.8399963,270.7999878,264.269989,270.3699951,270.2832947,39765400
10/04/2023,268.230011,276.2099915,266.6900024,275.7900085,275.7015686,39527900
11/04/2023,277.2399902,277.8999939,271.2600098,271.6900024,271.6028748,31437800
12/04/2023,273.7000122,274.6799927,264.480011,264.9500122,264.8650818,44625900
13/04/2023,267.3399963,268.8699951,263.2900085,264.6300049,264.545166,35361500
14/04/2023,265.0400085,268.8299866,262.2000122,267.5799866,267.4942017,39566000
17/04/2023,265.6499939,270.0599976,264.3299866,270.019989,269.9334106,32147100
18/04/2023,275.3299866,281.1000061,273.5700073,276.6700134,276.5812988,60481200
19/04/2023,273.6099854,280,272.3200073,279.3099976,279.2204285,35866000
20/04/2023,276.7099915,280.2999878,270,271.0400085,270.9530945,42771300
21/04/2023,269.519989,271.8299866,267.2200012,271.1900024,271.1030579,34510300
24/04/2023,270.1300049,273.6600037,266.7099915,270.4200134,270.3332825,33928200
25/04/2023,270.7799988,272.4700012,262.25,262.4100037,262.3258667,37852700
26/04/2023,270.019989,273.2999878,267.0499878,269.5599976,269.4735718,40633700
27/04/2023,273.6300049,274.9500122,266.25,272.2600098,272.1727295,37716100
28/04/2023,272.25,277.5799866,270.7099915,277.4899902,277.4010315,29168700
01/05/2023,278.3999939,290.5799866,277.7999878,289.1000061,289.0073242,57032900
02/05/2023,286.7999878,288.3599854,280.8299866,282.1000061,282.0095825,40273000
03/05/2023,278.3999939,283.6700134,274.7200012,278.019989,277.9308472,38338700
04/05/2023,276.5100098,278.5899963,272.3999939,275.6199951,275.5316162,32185000
05/05/2023,278.2600098,287.5499878,277.3099976,286.7999878,286.7080383,36101400
08/05/2023,285.2200012,292.2000122,283.5,291.5100098,291.4165344,34497900
09/05/2023,288.9899902,289.730011,284.5,285.7099915,285.6183777,31486900
10/05/2023,290.0499878,291.1300049,284.6099854,288.8500061,288.7573853,36935000
11/05/2023,288.9599915,289.5,282.4599915,285.7799988,285.688385,32214900
12/05/2023,285.2900085,287.7999878,280.4599915,283.3999939,283.3091431,27402700
15/05/2023,285.0799866,289.6900024,281.519989,289.5299988,289.4371643,29392600
16/05/2023,288.4100037,298.7000122,288.3200073,292.1300049,292.0363464,44940500
17/05/2023,295.8399963,301.9899902,294.2999878,301.7799988,301.6832581,43253500
18/05/2023,304.1000061,318.2799988,303.2000122,316.7799988,316.6784058,74872500
19/05/2023,315.3599854,315.7999878,309.1600037,312.6400146,312.5397644,47312400
22/05/2023,309.0100098,315.2000122,306.7999878,311.7600098,311.6600647,37200000
23/05/2023,310,312.8800049,306.3099976,306.8800049,306.7816162,35625300
24/05/2023,302.1000061,306.0700073,298.0599976,305.3800049,305.2821045,72141900
25/05/2023,385.230011,394.7999878,366.3500061,379.7999878,379.6781921,154391100
26/05/2023,378.8999939,391.7000122,375.5,389.4599915,389.335144,71439700
30/05/2023,405.9500122,419.3800049,399.4899902,401.1099854,400.9813843,92340100
31/05/2023,394.8800049,402.9500122,378.2200012,378.3399963,378.218689,100258000
01/06/2023,384.8900146,400.5,383.3999939,397.7000122,397.5725098,63587300
02/06/2023,400.9700012,405,390.5799866,393.269989,393.1439209,48165500
05/06/2023,389.0899963,395.6499939,387.0700073,391.7099915,391.5844116,39609400
06/06/2023,388.2999878,391.6000061,381.480011,386.5400085,386.4160767,38872900
07/06/2023,389.1499939,394.9899902,373.5599976,374.75,374.6686096,51199800
08/06/2023,377.2399902,388.6400146,375.0499878,385.1000061,385.0163879,41777200
09/06/2023,390.3699951,397.1099854,385.6700134,387.7000122,387.6158142,42722000
12/06/2023,392,395.2999878,386.1799927,394.8200073,394.7342529,38870100
13/06/2023,401.8599854,411.0100098,397.3999939,410.2200012,410.1309204,61320800
14/06/2023,408.2399902,430,405.519989,429.9700012,429.8766174,74046500
15/06/2023,426.019989,432.8900146,421.4700012,426.5299988,426.4373474,56862200
16/06/2023,434.5,437.2099915,426.6099854,426.9200134,426.827301,65475500
20/06/2023,429.980011,439.8999939,426.7399902,438.0799866,437.9848633,45115300
21/06/2023,435.0100098,436.1499939,420.7999878,430.4500122,430.3565063,55160300
22/06/2023,422.5299988,434.2600098,422.3399963,430.25,430.1565857,41773700
23/06/2023,424.6400146,428.0899963,420.1499939,422.0899963,421.9983215,35632300
26/06/2023,424.6099854,427.6400146,401,406.3200073,406.2317505,59432200
27/06/2023,407.9899902,419.3999939,404.480011,418.7600098,418.6690674,46217500
28/06/2023,406.6000061,418.4500122,405.1799927,411.1700134,411.0806885,58263900
29/06/2023,415.5799866,416,406,408.2200012,408.1313477,38051400
30/06/2023,416.7999878,425.5,415.0100098,423.019989,422.9281006,50053400
03/07/2023,425.1700134,428.980011,422.019989,424.1300049,424.0378723,19820900
05/07/2023,421.3500061,431.769989,420.8500061,423.1700134,423.078125,32361800
06/07/2023,418.4400024,421.7900085,413.4599915,421.0299988,420.9385681,30358200
07/07/2023,423.2200012,432.1400146,421.7999878,425.0299988,424.9377136,35525300
10/07/2023,426.5700073,428.1099854,416.4899902,421.7999878,421.7084045,35390800
11/07/2023,424.8099976,427.5799866,420.6700134,424.0499878,423.9578552,29824400
12/07/2023,430.3299866,439.3500061,427.769989,439.019989,438.9246216,48127700
13/07/2023,445.1799927,461.5499878,444.9200134,459.769989,459.670105,47820400
14/07/2023,465.8299866,480.8800049,450.6000061,454.6900024,454.5912476,77066400
17/07/2023,462.8900146,464.9599915,452.6199951,464.6099854,464.5090942,51048800
18/07/2023,467.0100098,478.9599915,457.3399963,474.9400024,474.836853,57019000
19/07/2023,474.6400146,478.1799927,467.4200134,470.769989,470.6677246,42750200
20/07/2023,465.0700073,470.8699951,450.6199951,455.2000122,455.1011353,53786500
21/07/2023,457.8800049,458.6600037,441,443.0899963,442.9937744,96283200
24/07/2023,447.3099976,451.0899963,440.3999939,446.1199951,446.0231018,38251600
25/07/2023,449.4100037,461.8299866,449.230011,456.7900085,456.6907959,34808100
26/07/2023,460.2099915,460.5299988,446.2999878,454.519989,454.4212646,36423700
27/07/2023,465.1900024,473.9500122,457.5,459,458.9003296,45597600
28/07/2023,466.6799927,470.269989,463.8099976,467.5,467.398468,33119400
31/07/2023,467.5400085,471.2999878,465.0599976,467.2900085,467.1885376,25105500
01/08/2023,464.6000061,469,460.269989,465.0700073,464.9689941,23785800
02/08/2023,458.3099976,458.3999939,433.8699951,442.6900024,442.5938721,53014200
03/08/2023,438,451.1799927,438,445.1499939,445.0533447,32417600
04/08/2023,449.8500061,456.4200134,443.9299927,446.7999878,446.7029419,36225800
07/08/2023,451.1099854,455.3999939,445.6300049,454.1700134,454.0713806,32215400
08/08/2023,448.5299988,452.4200134,440.5599976,446.6400146,446.5430298,35384300
09/08/2023,442.7399902,443.1199951,421.3399963,425.5400085,425.4475708,58644900
10/08/2023,421.6000061,435.7399902,418.3500061,423.8800049,423.7879639,49270500
11/08/2023,417.5100098,420.1799927,406.3900146,408.5499878,408.4612427,53200900
14/08/2023,404.8599854,438,403.1099854,437.5299988,437.4349976,69028600
15/08/2023,445.6000061,452.6799927,437.1000061,439.3999939,439.3045654,67651200
